Metric,Value
route__wirelength__iter:2,3695015
route__drc_errors__iter:3,76
route__wirelength__iter:3,3695075
route__drc_errors__iter:4,0
route__wirelength__iter:4,3695069
route__drc_errors__iter:5,285
route__wirelength__iter:5,3694937
route__drc_errors__iter:6,64
route__wirelength__iter:6,3694925
route__drc_errors__iter:7,23
route__wirelength__iter:7,3694920
route__drc_errors__iter:8,16
route__wirelength__iter:8,3694932
route__drc_errors__iter:9,16
route__wirelength__iter:9,3694932
route__drc_errors__iter:10,1
route__wirelength__iter:10,3694926
route__drc_errors__iter:11,1
route__wirelength__iter:11,3694926
route__drc_errors__iter:12,0
route__wirelength__iter:12,3694925
route__drc_errors,0
route__wirelength,3695069
route__vias,741543
route__vias__singlecut,741543
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1417.63
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,577
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,35
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2517450208438828
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25152525218994276
timing__hold__ws__corner:min_tt_025C_1v80,0.3497695565513763
timing__setup__ws__corner:min_tt_025C_1v80,-39.44586635645554
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,-4979.5313815093905
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,-39.44586635645554
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.349770
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,128
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.651547
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,29148
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,35
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.252628952685513
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2524165670148955
timing__hold__ws__corner:min_ss_100C_1v60,0.9709007206346835
timing__setup__ws__corner:min_ss_100C_1v60,-80.55022477020881
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-10211.499391098165
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-80.55022477020881
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.970901
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,128
timing__setup_r2r__ws__corner:min_ss_100C_1v60,5.444251
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,35
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.25129427028313683
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.2510682011133539
timing__hold__ws__corner:min_ff_n40C_1v95,0.13110873868779852
timing__setup__ws__corner:min_ff_n40C_1v95,-23.077085784382025
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,-2895.7798258926
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,-23.077085784382025
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.131109
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,128
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,8.391607
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,3123
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,44
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.2525155989114929
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.2518154367412111
timing__hold__ws__corner:max_tt_025C_1v80,0.36404125189195885
timing__setup__ws__corner:max_tt_025C_1v80,-42.248435279380416
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,-5332.864626172909
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,-42.248435279380416
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.364041
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,128
